       MJD   Upper    Mean   Lower  Cenwave  Zeropoint  Filter 
 59937.403  18.916  18.884  18.854  6198.96     3631.0  r-FLWO 
 59937.403  18.938  18.907  18.874  6366.38     3631.0   r-P48 
 59937.403  18.988  18.958  18.916  6629.82     3631.0  orange 
 59937.403  19.143  19.096   19.04  7645.77     3631.0       i 
 59941.107  18.707  18.665  18.622  4735.89     3631.0  g-FLWO 
 59941.107  18.719  18.684  18.639  4746.48     3631.0   g-P48 
 59941.107  18.746  18.708  18.676  5182.42     3631.0    cyan 
 59941.107  18.839  18.807  18.776  6198.96     3631.0  r-FLWO 
 59941.107  18.858   18.83  18.799  6366.38     3631.0   r-P48 
 59941.107  18.907   18.88  18.839  6629.82     3631.0  orange 
 59941.107  19.057  19.009  18.958  7645.77     3631.0       i 
  59944.81  18.663  18.622  18.579  4735.89     3631.0  g-FLWO 
  59944.81  18.678   18.64  18.596  4746.48     3631.0   g-P48 
  59944.81  18.695  18.659  18.626  5182.42     3631.0    cyan 
  59944.81  18.777  18.746  18.717  6198.96     3631.0  r-FLWO 
  59944.81  18.794  18.768  18.738  6366.38     3631.0   r-P48 
  59944.81  18.843  18.817  18.781  6629.82     3631.0  orange 
  59944.81  18.989  18.941  18.891  7645.77     3631.0       i 
 59948.513  18.634  18.596  18.555  4735.89     3631.0  g-FLWO 
 59948.513  18.648   18.61   18.57  4746.48     3631.0   g-P48 
 59948.513   18.66  18.627  18.593  5182.42     3631.0    cyan 
 59948.513  18.734  18.703  18.673  6198.96     3631.0  r-FLWO 
 59948.513  18.749  18.722  18.692  6366.38     3631.0   r-P48 
 59948.513  18.797  18.768  18.734  6629.82     3631.0  orange 
 59948.513  18.934  18.889  18.838  7645.77     3631.0       i 
 59951.207  18.625  18.584  18.544  4735.89     3631.0  g-FLWO 
 59951.207  18.636  18.598   18.56  4746.48     3631.0   g-P48 
 59951.207  18.647   18.61  18.577  5182.42     3631.0    cyan 
 59951.207   18.71   18.68  18.649  6198.96     3631.0  r-FLWO 
 59951.207  18.725  18.697  18.669  6366.38     3631.0   r-P48 
 59951.207  18.772  18.742   18.71  6629.82     3631.0  orange 
 59951.207  18.904  18.857   18.81  7645.77     3631.0       i 
 59951.278  18.624  18.584  18.543  4735.89     3631.0  g-FLWO 
 59951.278  18.636  18.598   18.56  4746.48     3631.0   g-P48 
 59951.278  18.647   18.61  18.577  5182.42     3631.0    cyan 
 59951.278   18.71   18.68  18.649  6198.96     3631.0  r-FLWO 
 59951.278  18.724  18.697  18.669  6366.38     3631.0   r-P48 
 59951.278  18.772  18.741   18.71  6629.82     3631.0  orange 
 59951.278  18.903  18.857   18.81  7645.77     3631.0       i 
 59952.217  18.623  18.581   18.54  4735.89     3631.0  g-FLWO 
 59952.217  18.635  18.596  18.558  4746.48     3631.0   g-P48 
 59952.217  18.641  18.606  18.573  5182.42     3631.0    cyan 
 59952.217  18.704  18.674  18.643  6198.96     3631.0  r-FLWO 
 59952.217  18.717   18.69  18.662  6366.38     3631.0   r-P48 
 59952.217  18.764  18.733  18.703  6629.82     3631.0  orange 
 59952.217  18.894  18.847    18.8  7645.77     3631.0       i 
  59955.92  18.623  18.584  18.541  4735.89     3631.0  g-FLWO 
  59955.92  18.632  18.597  18.567  5182.42     3631.0    cyan 
  59955.92  18.633  18.595  18.556  4746.48     3631.0   g-P48 
  59955.92  18.685  18.658  18.625  6198.96     3631.0  r-FLWO 
  59955.92  18.697  18.669  18.642  6366.38     3631.0   r-P48 
  59955.92  18.738  18.711  18.683  6629.82     3631.0  orange 
  59955.92  18.866  18.821  18.772  7645.77     3631.0       i 
  59956.24  18.623  18.584  18.543  4735.89     3631.0  g-FLWO 
  59956.24  18.631  18.597  18.567  5182.42     3631.0    cyan 
  59956.24  18.633  18.595  18.556  4746.48     3631.0   g-P48 
  59956.24  18.684  18.656  18.624  6198.96     3631.0  r-FLWO 
