 texplosion  fnickel    Pspin  log(Bfield)      Mns  thetaPB   mejecta    kappa  kappagamma     vejecta  temperature    alpha  cutoff_wavelength  log(nhhost)      A_V         MJD0   kenergy  mnickel            TSD   log(L0)  Peak_mag     Peak_MJD  log(E_rad)  log(Peak_lum)  Rise_Time    E_fold  tau_1  delta_m15     r_peak     frac 
  -10.34194  0.04556   1.3433     14.41441  1.84667  0.41699  24.64496  0.04878     0.21643  6110.96798   9605.70701  0.45641         5832.61843     19.69969  0.02782  59899.10669   5.49004  1.12282    45892.08053  47.61715  18.69097  59959.35503    51.57894       44.82095   23.46312  42.14049   49.5    0.12107  -21.82034  0.99049 
   -9.31601  0.09103  1.24437     13.89886  1.72586  1.47549  20.07245  0.04141     0.02737  5712.76158   9216.22081  0.51975         5237.12364     20.53986  0.19257  59900.13262   3.90769  1.82723   395361.34031  46.71896  18.61536  59956.26172     51.6084       44.89008   26.03893  35.59906   58.0    0.13423  -21.93917  0.98529 
   -8.20075  0.00864  2.13411     14.02639  1.85487  0.88846  23.79269  0.01884     0.05117  4664.50755   8195.71571  0.78599         4747.54045     16.60479    2e-05  59901.24787   3.08804  0.20553   694669.99996  46.03695  18.64951  59959.62326    51.59715       44.87159   23.53163  40.74958   71.0    0.14878  -21.66198  0.99553 
  -12.94854  0.03512  1.77115     14.15447  1.93731  0.79782  23.17096  0.03627     0.14077  5596.57938    5623.9237  0.55103         5022.22207     19.40829  0.01422  59896.50009   4.32929  0.81383   277067.11551  46.61695  18.67849  59959.62326    51.48602       44.71822   26.70881  43.39821   63.0    0.13605  -21.70337  0.98875 
  -11.69693  0.00184  2.38967     13.87329  1.78803  1.30473  11.60075  0.05263     0.05445  5773.95653   4528.49007   0.5989         5465.26562     17.91053  0.00045   59897.7517   2.30707  0.02131   1699401.6387  45.53425  18.65824  59959.62326    51.52241        44.7418   27.94204   45.0582   71.5    0.14057  -21.74771  0.99938 
  -11.89973  0.03768  1.59761      13.8488  1.50581  1.06496   13.2465   0.0569     0.03314  6205.72063   4037.82316  0.35055         4829.96178     19.57132   0.0207   59897.5489   3.04308  0.49907   716028.39972  46.18474  18.65744  59959.35503    51.53899       44.77782   27.98037  42.12665   68.0    0.13878   -21.7196  0.99175 
  -14.58631  0.14715  2.77532     14.08614  1.75255  0.33905   4.16713  0.13289     0.02753  7627.04293   8187.95983  0.61515         3623.19116     16.64447    2e-05  59894.86231   1.44603  0.61319    843004.8004  45.70006   18.6356  59959.35503     51.4474       44.65664   31.82536  43.39821   59.0       0.13  -21.74736  0.97472 
   -8.39436   0.0055  1.82527     14.13033  1.86096  0.78669  24.05787  0.02583     0.10041  3808.84425   9803.27264  1.03548         5901.57059     16.97857    5e-05  59901.05427   2.08195  0.13223   315902.59373  46.51637  18.66385  59963.45817    51.52152       44.73464    28.1706  46.60452   58.0    0.12633  -21.81812  0.99791 
  -11.24851  0.04633  0.96206     13.73909  1.30809  1.34542  46.42316  0.02166     0.26362  5560.40532   4984.38965  0.60425          4300.1752     20.56047  0.20193  59898.20012   8.56199  2.15082   373841.10169  46.84639  18.62079  59959.35503    51.49689       44.71271   26.57085  43.49678   66.5    0.11911  -21.86137  0.98437 
   -8.68595  0.00124  1.70257     14.02517  1.89698  1.53901  42.30867  0.01683     0.16246   4007.1482   9233.32771  1.01002          5157.6288     18.75923  0.00319  59900.76267   4.05254  0.05264    454716.5658  46.42696  18.66339  59959.35503    51.53827       44.79962   28.83357  37.71035   57.5    0.12207  -21.69517   0.9993 
  -12.35394  0.08512   1.9083      14.1131  1.70664  0.71056  24.97605  0.03305     0.22095  5397.51185   9154.41257  0.61651         5400.26173     18.23925  0.00096  59897.09468   4.34048  2.12604   342802.24818  46.40465  18.68996  59959.62326    51.50298       44.75145   29.71692  42.16498   61.5    0.12103  -21.69865   0.9598 
  -10.30168  0.11593  2.11483     14.04554  2.02922  1.22315  13.58597  0.05502     0.07565  5362.34151    7699.0933  0.66791         4643.23554     16.11068    1e-05  59899.14694   2.33038  1.57496   683300.29896  46.09101  18.66071  59963.45817    51.49174        44.7071   25.00944  47.95141   67.0    0.13293  -21.69219  0.97144 
   -9.72652  0.02763  0.95465     13.86652  1.46356   1.3949   25.6592  0.02687     0.01905  3858.05883     7807.414  0.82045         5877.14543     16.01012    1e-05  59899.72211   2.27828  0.70905   229021.48937  47.11469  18.59556  59959.35503    51.62044       44.87954   30.16537  40.59417   59.5    0.11748  -21.79357  0.99572 
  -15.69069  0.00773  1.63292       14.096  1.79941  0.78809  25.06145  0.03781     0.49718  5188.21162      7885.74  0.55944          5014.9654       19.604  0.02232  59893.75793    4.0241   0.1937   286335.49239  46.64117  18.66222  59959.62326    51.34952       44.53248   23.34279  54.97107   62.5    0.11587  -21.61257  0.99743 
  -10.94556  0.00296  2.51634     13.78987  1.68954  1.49459   6.80284  0.12308     0.38425   8465.3016   9146.29445  0.85974         2668.83459     19.86431  0.04065  59898.50307   2.90805  0.02016  2614483.29698  45.27769  18.65513  59963.32658    51.53208       44.78004   25.72584  43.71131   56.0    0.14688  -21.77801  0.99929 
   -8.20338  0.09693   0.9164     14.11214  1.71973  1.16033  58.78813  0.01484      0.0105  5626.09967   8856.22687  0.53196         4573.08286     18.42916  0.00149  59901.24524  11.10022  5.69853    80014.34563  47.67697  18.61003  59959.35503    51.28366       44.47128   32.45585  49.18464   62.0    0.13685  -21.68341  0.97737 
  -14.70576  0.01353  1.70478     13.99299  1.69516  0.88957  23.66233  0.04488      0.0207  6270.18903   9313.23966  0.28205         5165.36585     17.90154  0.00044  59894.74287    5.5494  0.32019   472482.33501  46.36034  18.66498  59959.62326    51.44535       44.66443   28.93214  46.29143   52.0    0.12023  -21.66632  0.99494 
   -7.23673   0.2427  1.95433     14.16292  1.89132  1.02876  23.63866  0.03114     0.05539  5742.98196   7169.08699  0.72842          4771.3027     16.46486    2e-05   59902.2119   4.65077  5.73705   316756.50369  46.46289  18.62963  59959.62326     51.3838       44.53505   33.94254  52.07786   76.0    0.13534  -21.69597  0.90828 
   -7.96889  0.06941  1.32743       14.169  1.95145  1.10041  43.98399  0.01892     0.02921  5636.89824   5685.31466  0.54862         5098.18097     16.33796    1e-05  59901.47973   8.33685  3.05297    146624.0399  47.14697  18.68108  59959.62326    51.90181       45.19135   23.34692  39.86533   61.5    0.14025  -21.69824  0.97739 
  -10.58287  0.00125  2.32048     13.94982  1.93936  1.42103  10.96063  0.06864     0.46141  5803.61852   8997.78747  0.69916         4579.88364     19.97848  0.05287  59898.86575   2.20222  0.01372  1221773.05552  45.73836  18.64447  59959.35503    51.56809       44.81276   27.94204  39.27177   57.5    0.13321  -21.73295  0.99967 
   -9.22012  0.28946  1.36523     14.13745  1.52429   0.6802  22.83578  0.03658     0.17079  6517.67799   8531.28571  0.46641         4784.25469     20.28844  0.10794  59900.22851   5.78667  6.60996    140084.2692  47.03511  18.67646  59959.35503    51.56641       44.79812   25.72584  40.81809   67.5    0.13789  -21.77765  0.92758 
