 texplosion  fnickel    Pspin  log(Bfield)      Mns  thetaPB   mejecta    kappa  kappagamma     vejecta  temperature    alpha  cutoff_wavelength  log(nhhost)      A_V         MJD0   kenergy  mnickel             TSD   log(L0)  Peak_mag     Peak_MJD  log(E_rad)  log(Peak_lum)  Rise_Time     E_fold  tau_1  delta_m15     r_peak     frac 
  -38.75443  0.08291  2.51036     13.88743  1.80454  0.47353  20.54839  0.11905     0.01134  4748.34356   7924.54005  2.07776         3834.03875     20.14505  0.07759  60183.12138   2.76369  1.70368     1773366.709  45.47694  18.91997  60300.56989    51.46211       44.38547   83.18531   88.65756   98.0     0.0423  -21.81522  0.94618 
  -37.85174  0.10192  1.71326     13.75999  1.91303  1.29494  16.81513  0.20627     0.02566  4949.35522   6760.15933  0.21988         5216.21501     19.75398  0.03153  60184.02407   2.45711  1.71375    1574737.5338  45.88571    18.939  60306.99191    51.65547       44.58917   62.01311   90.83123   96.0    0.03495  -21.77137  0.97738 
  -35.34199  0.36029  1.87757      13.7337  1.59309  1.50914  25.62672  0.10254     0.01086  4542.71223   7524.37912  0.65081         4936.31492      19.3382   0.0121  60186.53382   3.15465  9.23308   1777666.46737  45.67404  18.90819  60310.20291    51.51582       44.42213   71.64345   97.74452   95.5    0.04109  -21.73421   0.8355 
  -24.66789  0.02269  0.78561     13.91459  1.70823   1.2166  42.53748  0.22008     0.17098  8341.07353   7153.79659  0.14064          5076.6559     16.97774    5e-05  60197.20792  17.65399  0.96528    145079.99593  47.54937  18.94489   60303.7809    51.60503       44.52512   56.46266   95.74102   86.0    0.04559  -21.88872  0.99691 
  -23.69966   0.0013  1.17361     13.78813  1.57551  1.30119   59.1392  0.10099     0.07439   5980.8007   7527.07118  0.96504         4414.09634     17.29646  0.00011  60198.17615  12.61889  0.07695    534599.33988  46.59919  18.92463  60309.04971    51.70395       44.62069   57.32751   97.33107   92.0    0.03888  -21.80657  0.99936 
  -35.03791  0.12583  2.08943     13.61654  1.67227  1.37693  11.43516  0.31688     0.07643  6267.38506   6442.38535  0.80051         3467.89685     18.29209  0.00109   60186.8379   2.67943  1.43885   3963693.33312    45.254  18.93305  60306.99191    51.38879       44.28417   84.26464   94.94291   97.5    0.04472  -21.83936  0.96525 
  -26.14296  0.13407  1.95113     13.92738  1.55837  0.58677  14.78884   0.3221     0.17439  6960.33131   6927.11266  2.04247         3500.03891     19.70451  0.02813  60195.73285   4.27387  1.98278    769644.03123  45.99465  18.85267  60306.99191    51.49575       44.39288   61.91119  100.11208   93.0    0.04756  -21.85298   0.9547 
    -35.571  0.05313  1.85985     13.74394  1.78747   0.7413  12.78993  0.33727     0.01746  5555.62877   8067.91334  1.37915          3775.9816     20.50283  0.17683  60186.30481   2.35484  0.67948   1866888.30963  45.71101  18.90946  60306.99191    51.58047        44.4762   54.00776  108.01551   84.0    0.03656  -22.03631  0.98795 
  -44.87679    0.306  2.23829     13.54318   1.7129  0.89339  10.69924  0.24145     0.01613   5421.6019   7916.27698  4.22814         2192.33475     19.09315  0.00688  60176.99902   1.87601  3.27394   6531495.24524  44.98773  18.87823  60302.36875    51.80009       44.79376   53.90587   78.65863   86.5    0.04856  -21.77767  0.91293 
  -42.31235  0.00698  2.06712     13.51318  1.80927  1.53365  18.96912  0.28734     0.01228  6481.07618   6954.99988   3.1239         2300.32682     16.25169    1e-05  60179.56346   4.75301   0.1324    6756170.0211  45.06592  18.92098  60306.99191    51.55699       44.48602   52.36704   95.74102   86.0     0.0416  -21.85681  0.99706 
  -35.98735  0.01092  1.94143     14.00645   1.8267  0.45718  14.39692  0.30602     0.01722  5593.34248    7512.6051    0.665         4277.36733     18.05161  0.00063  60185.88846   2.68683  0.15726    620630.34789  46.16143  18.92396  60306.99191    51.61437       44.54731   52.41771   92.42127   82.0    0.03665  -21.86701  0.99705 
   -25.8171  0.01748   0.9514     14.02517  1.61179  0.63417  50.66889  0.10757     0.01429  5788.59988   7914.39874  0.42016          5389.5637     18.76243  0.00321  60196.05871  10.12781  0.88579    120646.96906  47.43791  18.96244  60297.35889    51.44706       44.33699   75.13314  100.65082   84.0    0.04365  -21.84517  0.99535 
  -15.07292  0.05364  1.18474     13.90262  1.41734  0.80379  48.89273  0.06979      0.3409  4041.53844   8527.26458  1.99665         4181.75405     19.19263  0.00866  60206.80289   4.76392  2.62246    289270.28009  46.81177  18.90108  60310.06361    51.62102       44.55493   56.46266   93.28613   96.0    0.03619  -21.68927  0.97448 
  -27.50783  0.01435  1.16567     13.69739  1.45333  1.50041  38.71746  0.14495     0.30977   6099.7488   8344.58263  0.54577         5578.88012      17.7809  0.00034  60194.36798   8.59326  0.55547    738861.57884  46.42949  18.89107   60303.7809    51.55996       44.46719   72.67824   95.74102   85.0     0.0417  -21.87394  0.99484 
  -27.80062  0.00729  1.46208     13.83887   1.9139  1.56815  33.51922  0.06789     0.38763  3120.58947   9166.49505  1.09088         4981.45881     18.51809  0.00183  60194.07519   1.94713  0.24449    797890.39988  46.31888    18.962  60309.04971    51.46726       44.35524   87.67157   95.83902   94.5    0.03806  -21.71338  0.99763 
  -16.83865  0.00164  1.71342     13.83578   1.7461  1.25746   17.4885  0.29091     0.01601  5023.75605   8890.83414  3.70184         3924.94024      18.8032  0.00353  60205.03716   2.63291  0.02869   1014054.82625  46.03712  18.90846  60309.04971    51.63496       44.57769   51.55286   93.28613   90.5    0.03619  -21.78828  0.99956 
  -25.92026  0.01088  0.94662      13.7851  1.47067  1.06237  61.40618  0.08276      0.0592  5586.45844   7312.95756  0.49968         5515.13493     16.06139    1e-05  60195.95556  11.43174  0.66816    329224.30542  46.96652   18.8847  60309.04971    51.72109       44.65958   62.47799   92.18058   90.0    0.04168  -21.86474    0.996 
  -33.46189  0.00135  1.40675     13.77187  1.72628  1.23084  18.56755  0.27935     0.13082  6352.61846   6799.41748  0.19166         2228.54116     18.44669  0.00155  60188.41392   4.46979  0.02511    907040.99542  46.25189  18.91933  60309.04971    51.53395       44.44378   63.22361   96.34476   88.0     0.0439   -21.7947  0.99974 
  -26.76079  0.00353  1.09365     13.91399  1.60045  0.70292  25.43578  0.31151     0.01975  7154.84233   7258.86899  0.23533         4615.76915     18.53882  0.00192  60195.11502   7.76734  0.08978    264140.92503  46.97349  18.93338  60298.40281    51.51805       44.44802    57.5682   87.27079   82.0    0.03844  -21.91916  0.99936 
  -25.19797  0.01435  1.02782     13.95339  2.00399   1.3665  30.86913  0.15629     0.02128  4806.31631   8776.67284  0.77467          4824.3804     18.03701   0.0006  60196.67784   4.25379  0.44284    243648.73622  47.16014  18.92669   60303.7809    51.43547       44.31192   59.36896  110.01901   88.0    0.03595  -21.79658  0.99805 
  -22.40678  0.09639   0.8265     14.01875  1.67733  0.81934  24.99128  0.16757     0.03576  4403.52609   8126.38256  0.94321         4756.42008     19.09782  0.00696  60199.46904   2.89079   2.4088     97591.84924  47.66956  18.91816  60306.99191    51.50865        44.4231   49.91215  105.56062   92.0    0.03321  -21.73664  0.99124 
  -17.77685  0.00135   1.1176     14.04912  1.73712  0.72418  21.23297  0.30866     0.30081  5838.67246   7575.99127  1.62915         3986.00852     16.41681    1e-05  60204.09896   4.31784  0.02875    160681.00379  47.20614  18.87144  60309.04971    51.52515       44.43979   54.00776  103.10572   94.0    0.03707  -21.76859  0.99981 
  -47.04371  0.00142  2.30033     13.40106  1.91219  1.10849  14.50441  0.17378     0.01245  6420.96065   7516.80744  0.55236         2679.43875     18.37201  0.00131  60174.83211    3.5672  0.02062   14818645.4825  44.65599  18.89946   60303.7809    51.52847       44.46004   54.97606   94.84448   86.0    0.05702  -21.81868  0.99943 
  -45.92923  0.03284  2.10128     13.90862  1.89588  0.51877  21.62648  0.20685     0.01048  5390.59439   7699.13979  0.45756         5908.48968     18.50783  0.00179  60175.94658   3.74875  0.71022    1184013.7789  45.82833  18.96873  60298.40281    51.41585       44.30825   76.34181  100.41085   86.0    0.03903  -21.88266  0.98522 
  -22.77949   0.0093  0.96538     14.01408  2.02899  1.14012  35.39636  0.08624     0.23665  3124.26152   8985.65167   1.1676         5419.19795     17.18817    9e-05  60199.09632   2.06101  0.32907    164561.01453   47.3904  18.96794  60294.14788    51.41462       44.32818   71.19204   95.74102   96.0    0.03704  -21.74742  0.99875 
  -30.52275   0.0013  2.05926     13.77972  1.84005  1.07058  30.65015  0.05696     0.07999  3272.24216    8721.6562  1.12063         5102.64389     17.05291    6e-05  60191.35306   1.95772  0.03989   1998152.08208  45.60562  18.84069   60303.7809    51.36843       44.28004   76.89995   94.94291   98.0    0.04439  -21.72896  0.99917 
  -19.29616  0.00287  0.74739     14.06676  1.83779  0.85948   48.1433  0.09021     0.01908  4212.13289   8315.34958  1.08793         4799.96542     17.68598  0.00027  60202.57965   5.09527  0.13819     70095.17606  47.94035  18.93208  60300.56989    51.48848       44.42398   65.55369   91.55979   92.0    0.03135  -21.75398  0.99965 
  -28.64902  0.04949  1.26419     13.91552  1.93313  1.26337  65.25004    0.066     0.01094  5478.52119   7571.63828  0.29057         4835.56871     19.18933  0.00859   60193.2268  11.68247  3.22933    423316.47513  46.72481  18.90794   60303.7809    51.65126       44.57486   64.72389   89.93468   86.0    0.04109  -21.79533  0.97748 
  -45.30236  0.48311  2.43278     13.79005  1.63843  0.45809  11.91578  0.28848     0.01241  4804.90497   7149.29833  4.88025         3402.66691     19.65388  0.02504  60176.57345   1.64104  5.75662   2367868.57004  45.33671  18.88726  60302.36875    51.46645       44.39654   73.64694   88.37633   94.5     0.0455  -21.78767  0.82409 
