       Name        RA_deg        DEC_deg  Redshift         Method     EBV  Explosion      Peak  Quality  Survey 
    2022ued  133.69160866  +78.830157708    0.1087     Host_lines  0.0189   59821.81  59869.48     Gold     ZTF 
 ASASSN15no  234.60599000  +46.901710000   0.03638  Host_spectrum   0.014   57178.35  57245.53   Bronze   Other 
  CSS140925  14.725458300  +18.222833300      0.46        Unknown  0.0568   56883.26  56918.66   Bronze     CSS 
  CSS160710  241.08143750  +39.470180560      0.18    SN_features  0.0096   57530.76  57582.37   Silver     CSS 
  DES14C1fi  53.457500000  -27.058777780     1.302     Host_lines  0.0091   56853.85  56930.93   Silver     DES 
 DES14C1rhg  54.530291670  -27.712694440     0.481    SN_features  0.0096    56983.8  57013.27   Silver     DES 
 DES14E2slp  8.2670000000  -44.195222200      0.57    SN_features   0.006   57000.72  57044.36   Silver     DES 
 DES14S2qri  40.883916670  -1.1261666700       1.5    SN_features  0.0276   56973.84  57018.05     Gold     DES 
 DES14X2byo  35.945541670  -6.1367500000     0.868  Host_spectrum  0.0257   56918.34  56957.97     Gold     DES 
 DES14X3taz  37.018583330  -4.0868611100     0.608  Host_spectrum   0.022   57031.63  57083.74     Gold     DES 
 DES15C3hav  52.967375000  -28.252638890     0.392  Host_spectrum  0.0077   57299.94  57336.53   Silver     DES 
 DES15E2mlf  10.389166700  -43.454777800     1.861  Host_spectrum  0.0086   57325.19  57370.08     Gold     DES 
 DES15S1nog  43.062416670  -0.7434166700     0.565     Host_lines  0.0541   57342.91  57377.68   Silver     DES 
 DES15X1noe  33.674708330  -4.8818055600     1.188  Host_spectrum  0.0177   57336.15  57436.48     Gold     DES 
  DES15X3hm  36.729000000  -5.0605555600      0.86  Host_spectrum  0.0237   57187.31  57235.88     Gold     DES 
 DES16C2aix  55.171541670  -29.380111110     1.068  Host_spectrum  0.0114   57592.18  57691.71     Gold     DES 
  DES16C2nm  55.061791670  -29.098194440     1.998  Host_spectrum  0.0123    57545.1  57622.12   Silver     DES 
  DES16C3cv  51.819625000  -28.712750000     0.727     Host_lines  0.0103    57578.1  57676.92   Bronze     DES 
 DES16C3dmp  52.868125000  -28.541194440     0.562  Host_spectrum  0.0068   57699.74  57735.03     Gold     DES 
 DES16C3ggu  52.800000000  -28.577416670     0.949  Host_spectrum  0.0074   57748.16  57857.36   Silver     DES 
 DES17C3gyp  51.966125000  -28.395638890      0.47    SN_features  0.0073    58105.7  58153.08   Silver     DES 
 DES17X1amf  34.444583330  -5.6002777800      0.92    SN_features  0.0207   58011.88  58067.81     Gold     DES 
 DES17X1blv  35.248500000  -4.4835555600      0.69    SN_features  0.0213   58020.29  58064.06     Gold     DES 
  iPTF13ajg  249.76645833  +37.027333330    0.7403  Host_spectrum  0.0121   56350.11  56399.89     Gold    iPTF 
  iPTF13bdl  189.23391700  +13.129306000     0.403    SN_features  0.0405   56288.54  56492.65   Silver    iPTF 
  iPTF13bjz  159.58262500  +24.414250000    0.2712     Host_lines  0.0198   56411.04  56446.24   Silver    iPTF 
