 texplosion  fnickel    Pspin  log(Bfield)      Mns  thetaPB   mejecta    kappa  kappagamma     vejecta  temperature    alpha  cutoff_wavelength  log(nhhost)      A_V         MJD0  kenergy  mnickel             TSD   log(L0)  Peak_mag     Peak_MJD  log(E_rad)  log(Peak_lum)  Rise_Time    E_fold  tau_1  delta_m15     r_peak     frac 
  -12.37806  0.11786  1.48591     12.93389   1.7192   1.3259   8.99998  0.17595     0.01091  7664.44255   4769.87258  3.28103         2178.82547     18.16758  0.00082  59956.92602  3.15377   1.0607   47790713.5536  44.48084  18.06309  60054.52212    51.50545       44.48437   68.43761  79.96992   89.0    0.07315  -22.01825  0.98276 
  -15.06023  0.06003  1.61981      13.0695  1.91964  1.14682    5.6183  0.32591     0.01733  7574.53327   4730.99622  1.41904         2276.30773     16.98477    5e-05  59954.24385  1.92284  0.33728  33959311.49562  44.60218  18.04539  60054.52212    51.44085       44.40119   72.45354  83.37437   87.5    0.07155  -22.03605  0.99465 
  -14.16434  0.00177  2.08212     13.23619  1.87878   1.5327  11.41795  0.17584     0.01226  7059.16782   5089.52505  4.85359         2754.33074      16.5475    2e-05  59955.13974  3.39408  0.02019  25487227.75241  44.49939   18.0456   60057.5719    51.52285       44.51287   70.91107  77.49646   86.0     0.0733  -22.02918   0.9995 
  -14.57789  0.01636   1.9378     13.26407  2.04921  1.07324   8.19899    0.298      0.0143  7722.67498   4543.36186  1.31667         2980.21885     16.88663    4e-05  59954.72618  2.91691   0.1341  21177403.11703  44.67994  18.03452   60057.5719    51.51261       44.49373   70.06275  78.34478   81.0    0.07267   -22.0688  0.99745 
  -13.69727  0.41626  1.17871     12.75974  1.37385   1.1556   7.33544  0.24846     0.01219  7819.42778   4957.74684  1.43383         2453.77274     18.20239  0.00089   59955.6068  2.67549  3.05344  53589521.36187  44.53489  18.05645  60054.52212    51.49014          44.46   70.06275  80.81824   87.5    0.07414   -22.0298  0.95591 
  -12.00767   0.1447  1.42668     12.87621  1.15452  1.46898   6.43848  0.31249     0.02074  7491.71877   4800.04932  2.63262         3381.89098     18.10787  0.00071   59957.2964  2.15563  0.93164  38587754.44217  44.43615  18.04965   60053.2066    51.49848       44.48846   68.43761  77.49646   82.0    0.08071  -22.06519  0.97747 
  -14.55593  0.00155  1.37755     12.93483  1.74855   1.3255   7.79436  0.33393      0.0103  7846.92021   4936.68535  1.20177         2647.14726     17.97305  0.00052  59954.74815   2.8629  0.01211  41595581.12254  44.61426   18.0535  60056.29316    51.52565       44.51659   66.78339  76.67722   85.0    0.07192   -22.0465  0.99984 
  -13.94513  0.00452  1.11955     12.79664  1.48137  0.98932   6.26497  0.26785     0.01058  7324.87128   4766.29907  1.26167         2152.46008     18.08669  0.00068  59955.35895  2.00515  0.02831  43983084.97253  44.69814  18.05305  60055.31023    51.48539       44.49441   66.85348  74.13367   90.5    0.07096  -21.99431  0.99965 
  -14.55601  0.00247  1.54568     13.12551  1.71884  0.92075   8.11699  0.33452     0.01185  7588.74563   4202.91017  4.01235         2368.11707     16.47998    2e-05  59954.74806  2.78844  0.02008  21392970.72389  44.79557  18.05866  60054.52212    51.48487       44.45303   69.96308  80.91791   84.5    0.06783  -22.06011  0.99968 
  -15.47048  0.00233  1.21185     12.98814  1.44816  0.70254   6.92556  0.28532     0.01152  7593.67357   4723.00679  1.81708         2006.40341     16.89952    4e-05  59953.83359  2.38224  0.01617  20856564.36661  44.94352  18.05082   60057.5719    51.51053       44.49566    71.7303  76.67722   86.5    0.07187  -22.02426  0.99978 
  -15.67085  0.00149  1.64362      13.4661  1.81482  0.40874    7.8249  0.23634     0.01181  7133.73333   4742.45652   2.4486         2108.68977     17.88314  0.00042  59953.63322  2.37542  0.01167   5321610.67363  45.37003  18.03559   60057.5719    51.59927       44.61287   66.83316  71.68053   87.5    0.07088  -22.01199   0.9998 
  -12.00918  0.00142  1.37325     13.16182   1.6828  0.43246   5.48535  0.31482      0.0132  6669.16549   5260.30348   4.9032         3322.23145     17.76025  0.00032  59957.29489  1.45537  0.00781  13986197.63923  45.07368  18.01013   60057.5719    51.48435       44.45723   72.45354  78.42745   91.0    0.08071  -22.00289  0.99987 
  -12.29659  0.03617  1.66065     13.24729  1.78037  0.68846   9.35945   0.2179     0.01204  7953.79975   4504.39423  4.91708         2169.31247     18.24744  0.00098  59957.00748  3.53205  0.33858  14598039.68366   44.9145  18.04055  60056.29316    51.54286       44.55529   68.43761  72.54954   84.0    0.07592  -22.05697  0.99393 
  -12.85501  0.01301   1.7895     13.21382  1.94855  0.79452   7.29257  0.28251     0.01013  6364.71943   5033.00518   4.1468         3310.24998     16.11098    1e-05  59956.44907  1.76225  0.09486  21644625.12598  44.71774  18.05727   60053.2066    51.42873       44.38461   74.13976   84.1616   88.0    0.07342  -22.01217  0.99818 
  -13.73281   0.2844  1.82535     13.40616  1.78211  0.67669   12.6276  0.18702     0.01031  7979.47196   5945.70092  0.58994         3269.37683     20.27865  0.10553  59955.57127  4.79619  3.59123   8494200.36453  45.06796  18.04052  60055.18355    51.50079       44.49422   68.03847  77.49646   79.0    0.07596   -22.1661  0.93367 
  -13.13823  0.00835  1.68659     13.05978  1.79735  1.29369   6.40729  0.32913     0.01109  6375.97497   5369.61642  4.87454         3131.59062     19.07504   0.0066  59956.16585   1.5538  0.05352  36050960.46569  44.51254  18.00848   60057.5719    51.56416       44.56261   70.91107    75.023   87.5    0.07429  -22.03287    0.999 
  -13.01889  0.02534  1.32456     13.09587  1.35359  0.54459   6.76541  0.23987       0.019  7912.12065   4637.41418  2.46318         2391.09827     16.66322    3e-05  59956.28518  2.52643  0.17147  14180780.31727  45.00449  18.06913  60054.52212    51.60044       44.63259   60.30134  70.79198   90.0    0.07251  -22.04426  0.99686 
  -16.83048  0.11955  1.54426     13.07408  1.62384  1.43842   7.18716  0.27162     0.01184  6927.51929   5123.17261    0.147         3859.81466     19.47208  0.01647   59952.4736   2.0575  0.85919   25564340.2667  44.69431  18.07148   60053.2066    51.49629       44.48144   70.91107  77.49646   82.5    0.07246  -22.04076  0.98591 
  -17.66511  0.01692  1.74192     13.26538  1.63137  0.81605   8.01538  0.22292     0.01909  7607.49648   5059.41758  0.04669          4713.9361     16.39239    1e-05  59951.63897  2.76716  0.13559  13541409.89674  44.86768  18.03459  60056.29316    51.50119       44.48772   68.43761  77.49646   84.5    0.06953  -22.06025  0.99717 
  -12.46366  0.00197  1.81396     13.33951  1.83099  0.67555   6.71688  0.28595     0.01816  7300.89314   4945.41973  3.42896         2993.09567     20.35884  0.12693  59956.84042  2.13573   0.0132  11715020.05871  44.94553  18.07968  60054.52212    51.54187       44.55012   66.83316  74.15399   86.0    0.07775  -22.17011  0.99974 
