          MJD      Mag      Raw  MagErr  Telescope  Instrument  Filter     UL  System  Ignore               Source 
 60254.628603  19.4243  19.5775    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 60257.531661  20.5291  20.7384    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 60258.541135   19.495  19.7043    -1.0      ATLAS       ATLAS    cyan   True      AB    True  2018PASP..130f4505T 
 60259.542509  20.8448  21.0541    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
  60260.31315  19.5388   19.692    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 60261.510089  20.5035  20.7128    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 60263.532655  19.9092  20.1185    -1.0      ATLAS       ATLAS    cyan   True      AB    True  2018PASP..130f4505T 
 60264.501534   20.306  20.5153    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 60266.458247  20.4288  20.6381    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 60268.593637  19.8507  20.0601    -1.0      ATLAS       ATLAS    cyan   True      AB    True  2018PASP..130f4505T 
 60273.620293  19.8786  20.0318    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 60274.486751  19.3438   19.497    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 60281.560373  20.0333  20.1865    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 60282.455604  19.7851  19.9383    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 60284.455432  19.8891  20.0984    -1.0      ATLAS       ATLAS    cyan   True      AB    True  2018PASP..130f4505T 
 60285.550004  19.8506  20.0038    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 60286.442364  20.2687   20.478    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 60287.481733  20.7939  21.0032    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 60288.545053   19.963  20.1162    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 60289.503273  20.3778   20.531  0.3589      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 60290.550838  20.7901  20.9995    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 60291.545687  19.9066  20.0598    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
