       MJD   Upper    Mean   Lower  Cenwave  Zeropoint  Filter 
 60045.373  18.112  18.096  18.081  6629.82     3631.0  orange 
 60046.265  18.072  18.061   18.05  5182.42     3631.0    cyan 
 60046.265  18.085  18.071  18.057  6366.38     3631.0       r 
 60046.265  18.103  18.087  18.073  4746.48     3631.0       g 
 60046.265  18.107  18.092  18.076  6629.82     3631.0  orange 
 60048.344  18.072  18.059  18.049  5182.42     3631.0    cyan 
 60048.344  18.077  18.064  18.049  6366.38     3631.0       r 
 60048.344  18.099  18.084  18.068  6629.82     3631.0  orange 
 60048.344  18.106   18.09  18.075  4746.48     3631.0       g 
 60048.423  18.072  18.059  18.049  5182.42     3631.0    cyan 
 60048.423  18.076  18.064  18.049  6366.38     3631.0       r 
 60048.423  18.099  18.083  18.068  6629.82     3631.0  orange 
 60048.423  18.107   18.09  18.075  4746.48     3631.0       g 
 60049.165  18.073  18.059  18.049  5182.42     3631.0    cyan 
 60049.165  18.075  18.062  18.047  6366.38     3631.0       r 
 60049.165  18.096  18.081  18.066  6629.82     3631.0  orange 
 60049.165  18.108  18.092  18.077  4746.48     3631.0       g 
 60049.196  18.073  18.059  18.049  5182.42     3631.0    cyan 
 60049.196  18.075  18.062  18.047  6366.38     3631.0       r 
 60049.196  18.096  18.081  18.065  6629.82     3631.0  orange 
 60049.196  18.108  18.092  18.077  4746.48     3631.0       g 
 60049.984  18.074   18.06  18.044  6366.38     3631.0       r 
 60049.984  18.074   18.06  18.049  5182.42     3631.0    cyan 
 60049.984  18.094  18.078  18.063  6629.82     3631.0  orange 
 60049.984   18.11  18.093  18.079  4746.48     3631.0       g 
 60051.177  18.072  18.057  18.042  6366.38     3631.0       r 
 60051.177  18.076  18.061   18.05  5182.42     3631.0    cyan 
 60051.177  18.091  18.075  18.059  6629.82     3631.0  orange 
 60051.177  18.115  18.096  18.081  4746.48     3631.0       g 
 60051.203  18.072  18.057  18.042  6366.38     3631.0       r 
 60051.203  18.076  18.061   18.05  5182.42     3631.0    cyan 
 60051.203  18.091  18.075  18.059  6629.82     3631.0  orange 
 60051.203  18.115  18.096  18.081  4746.48     3631.0       g 
 60051.319  18.071  18.057  18.041  6366.38     3631.0       r 
 60051.319  18.076  18.061   18.05  5182.42     3631.0    cyan 
 60051.319  18.091  18.075  18.059  6629.82     3631.0  orange 
 60051.319  18.116  18.097  18.081  4746.48     3631.0       g 
 60051.472  18.071  18.057  18.041  6366.38     3631.0       r 
 60051.472  18.076  18.061   18.05  5182.42     3631.0    cyan 
 60051.472   18.09  18.075  18.058  6629.82     3631.0  orange 
 60051.472  18.116  18.097  18.081  4746.48     3631.0       g 
 60052.247   18.07  18.055   18.04  6366.38     3631.0       r 
 60052.247  18.078  18.063  18.051  5182.42     3631.0    cyan 
 60052.247  18.089  18.073  18.056  6629.82     3631.0  orange 
 60052.247   18.12    18.1  18.083  4746.48     3631.0       g 
 60053.207  18.069  18.054  18.039  6366.38     3631.0       r 
 60053.207   18.08  18.065  18.052  5182.42     3631.0    cyan 
 60053.207  18.088  18.071  18.054  6629.82     3631.0  orange 
 60053.207  18.124  18.104  18.086  4746.48     3631.0       g 
 60054.522  18.069  18.053  18.037  6366.38     3631.0       r 
 60054.522  18.084  18.069  18.054  5182.42     3631.0    cyan 
 60054.522  18.086   18.07  18.052  6629.82     3631.0  orange 
 60054.522  18.131  18.109  18.092  4746.48     3631.0       g 
 60055.184  18.069  18.053  18.036  6366.38     3631.0       r 
 60055.184  18.086  18.069   18.05  6629.82     3631.0  orange 
 60055.184  18.086  18.071  18.056  5182.42     3631.0    cyan 
 60055.184  18.135  18.113  18.095  4746.48     3631.0       g 
 60055.204  18.069  18.053  18.036  6366.38     3631.0       r 
 60055.204  18.086  18.069   18.05  6629.82     3631.0  orange 
 60055.204  18.086  18.071  18.056  5182.42     3631.0    cyan 
 60055.204  18.135  18.113  18.095  4746.48     3631.0       g 
  60055.31  18.068  18.053  18.036  6366.38     3631.0       r 
  60055.31  18.086  18.069   18.05  6629.82     3631.0  orange 
  60055.31  18.087  18.072  18.056  5182.42     3631.0    cyan 
  60055.31  18.136  18.113  18.096  4746.48     3631.0       g 
 60056.293  18.068  18.053  18.035  6366.38     3631.0       r 
 60056.293  18.086  18.068  18.049  6629.82     3631.0  orange 
 60056.293  18.091  18.075  18.059  5182.42     3631.0    cyan 
 60056.293  18.141  18.118  18.101  4746.48     3631.0       g 
 60057.572  18.069  18.054  18.035  6366.38     3631.0       r 
 60057.572  18.086  18.068  18.047  6629.82     3631.0  orange 
 60057.572  18.097  18.079  18.064  5182.42     3631.0    cyan 
 60057.572  18.149  18.126  18.108  4746.48     3631.0       g 
 60060.622  18.074  18.057   18.04  6366.38     3631.0       r 
 60060.622  18.088   18.07   18.05  6629.82     3631.0  orange 
 60060.622  18.112  18.094  18.077  5182.42     3631.0    cyan 
 60060.622  18.171  18.147  18.127  4746.48     3631.0       g 
 60063.671  18.083  18.064  18.045  6366.38     3631.0       r 
 60063.671  18.093  18.076  18.054  6629.82     3631.0  orange 
 60063.671  18.131  18.113  18.093  5182.42     3631.0    cyan 
 60063.671  18.197  18.172  18.151  4746.48     3631.0       g 
 60065.183  18.088  18.069  18.049  6366.38     3631.0       r 
 60065.183  18.097  18.079  18.057  6629.82     3631.0  orange 
 60065.183  18.142  18.123  18.103  5182.42     3631.0    cyan 
 60065.183  18.211  18.185  18.163  4746.48     3631.0       g 
 60065.205  18.088  18.069  18.049  6366.38     3631.0       r 
 60065.205  18.097   18.08  18.057  6629.82     3631.0  orange 
 60065.205  18.142  18.123  18.103  5182.42     3631.0    cyan 
 60065.205  18.212  18.186  18.164  4746.48     3631.0       g 
 60066.721  18.093  18.075  18.054  6366.38     3631.0       r 
 60066.721  18.102  18.084  18.061  6629.82     3631.0  orange 
 60066.721  18.154  18.134  18.113  5182.42     3631.0    cyan 
 60066.721  18.227    18.2  18.177  4746.48     3631.0       g 
 60068.251    18.1  18.081  18.059  6366.38     3631.0       r 
 60068.251  18.108  18.089  18.066  6629.82     3631.0  orange 
 60068.251  18.167  18.147  18.124  5182.42     3631.0    cyan 
 60068.251  18.243  18.215  18.192  4746.48     3631.0       g 
 60069.771  18.107  18.089  18.064  6366.38     3631.0       r 
 60069.771  18.114  18.094   18.07  6629.82     3631.0  orange 
 60069.771   18.18   18.16  18.136  5182.42     3631.0    cyan 
 60069.771  18.259  18.232  18.208  4746.48     3631.0       g 
 60071.297  18.115  18.096  18.072  6366.38     3631.0       r 
 60071.297  18.122  18.101  18.075  6629.82     3631.0  orange 
 60071.297  18.194  18.173  18.149  5182.42     3631.0    cyan 
 60071.297  18.277  18.248  18.224  4746.48     3631.0       g 
 60072.821  18.124  18.105   18.08  6366.38     3631.0       r 
 60072.821   18.13  18.108  18.082  6629.82     3631.0  orange 
 60072.821  18.209  18.188  18.163  5182.42     3631.0    cyan 
 60072.821  18.296  18.266  18.241  4746.48     3631.0       g 
 60075.871  18.144  18.123  18.097  6366.38     3631.0       r 
 60075.871  18.148  18.124  18.098  6629.82     3631.0  orange 
 60075.871  18.243  18.219  18.192  5182.42     3631.0    cyan 
 60075.871  18.336  18.304  18.277  4746.48     3631.0       g 
